date,gas,stroom,teruglevering,temp,zonneschijn,duur_neerslag,som_neerslag,day_of_week,day_of_week_name,day_of_month,month,month_name,season,anomaly_box_zon,anomaly_box_temp,teruglevering_sc,temp_sc,zonneschijn_sc,anom_if_1,anom_if_2,anom_if_3,teruglevering_int_1
2021-05-29,1.0,4.0,20.0,116,73,0,0,5,Saturday,29,5,May,Spring,False,False,1.5262386021242318,0.2740873920704803,0.6496399480956873,1,1,1,20.0
2021-05-28,0.0,3.0,25.0,121,124,0,0,4,Friday,28,5,May,Spring,False,False,2.189648913008762,0.35498458438924463,1.9398845181661202,-1,1,1,25.0
2021-05-27,2.0,4.0,9.0,109,34,84,75,3,Thursday,27,5,May,Spring,False,False,0.06673591817826516,0.16083132282421012,-0.33701766431111446,1,1,1,9.0
2021-05-26,1.0,11.0,11.0,109,52,59,61,2,Wednesday,26,5,May,Spring,False,False,0.33210004253207726,0.16083132282421012,0.11836277218433248,1,1,1,11.0
2021-05-25,0.0,7.0,13.0,105,37,18,8,1,Tuesday,25,5,May,Spring,False,False,0.5974641668858894,0.09611356896919862,-0.2611209248952066,1,1,1,13.0
2021-05-24,3.0,6.0,7.0,116,14,102,103,0,Monday,24,5,May,Spring,False,False,-0.19862820617554697,0.2740873920704803,-0.8429959270838333,1,1,1,7.0
2021-05-23,1.0,13.0,9.0,109,34,9,6,6,Sunday,23,5,May,Spring,False,False,0.06673591817826516,0.16083132282421012,-0.33701766431111446,1,1,1,9.0
2021-05-22,2.0,7.0,8.0,104,9,56,49,5,Saturday,22,5,May,Spring,False,False,-0.06594614399864089,0.07993413050544575,-0.9694904927770129,1,1,1,8.0
2021-05-21,0.0,5.0,14.0,128,77,17,20,4,Friday,21,5,May,Spring,False,False,0.7301462290627955,0.46824065363551476,0.750835600650231,1,1,1,14.0
2021-05-20,1.0,3.0,17.0,121,51,5,2,3,Thursday,20,5,May,Spring,False,False,1.1281924155935137,0.35498458438924463,0.09306385904569654,1,1,1,17.0
2021-05-19,2.0,12.0,7.0,100,25,16,14,2,Wednesday,19,5,May,Spring,False,False,-0.19862820617554697,0.015216376650434241,-0.5647078825588379,1,1,1,7.0
2021-05-18,0.0,2.0,22.0,107,87,12,31,1,Tuesday,18,5,May,Spring,False,False,1.7916027264780439,0.12847244589670437,1.0038247320365905,1,1,1,22.0
2021-05-17,3.0,4.0,9.0,110,26,31,28,0,Monday,17,5,May,Spring,False,False,0.06673591817826516,0.177010761287963,-0.539408969420202,1,1,1,9.0
2021-05-16,3.0,15.0,7.0,103,22,66,170,6,Sunday,16,5,May,Spring,False,False,-0.19862820617554697,0.06375469204169287,-0.6406046219747458,1,1,1,7.0
2021-05-15,1.0,4.0,10.0,103,13,15,37,5,Saturday,15,5,May,Spring,False,False,0.19941798035517122,0.06375469204169287,-0.8682948402224692,1,1,1,10.0
2021-05-14,2.0,3.0,10.0,96,56,0,-1,4,Friday,14,5,May,Spring,False,False,0.19941798035517122,-0.049501377204577264,0.21955842473887624,1,1,1,10.0
2021-05-13,1.0,4.0,23.0,127,115,0,0,3,Thursday,13,5,May,Spring,False,False,1.92428478865495,0.4520612151717619,1.7121942999183968,1,1,1,23.0
2021-05-12,0.0,8.0,19.0,123,105,0,-1,2,Wednesday,12,5,May,Spring,False,False,1.3935565399473258,0.3873434613167504,1.4592051685320373,1,1,1,19.0
2021-05-11,2.0,3.0,7.0,133,17,22,166,1,Tuesday,11,5,May,Spring,False,False,-0.19862820617554697,0.5491378459542792,-0.7670991876679254,1,1,1,7.0
2021-05-10,0.0,4.0,12.0,154,35,8,12,0,Monday,10,5,May,Spring,False,False,0.46478210470898335,0.8889060536930895,-0.3117187511724785,1,1,1,12.0
2021-05-09,1.0,14.0,11.0,183,64,3,2,6,Sunday,9,5,May,Spring,False,False,0.33210004253207726,1.3581097691419228,0.42194972984796375,1,1,1,11.0
2021-05-08,5.0,5.0,5.0,102,11,42,36,5,Saturday,8,5,May,Spring,False,False,-0.46399233052935906,0.04757525357793999,-0.9188926664997411,1,1,1,5.0
2021-05-07,2.0,3.0,25.0,73,128,0,0,4,Friday,7,5,May,Spring,False,False,2.189648913008762,-0.4216284618708934,2.041080170720664,-1,1,1,25.0
2021-05-06,4.0,5.0,12.0,69,59,0,-1,3,Thursday,6,5,May,Spring,False,False,0.46478210470898335,-0.4863462157259049,0.29545516415478407,1,1,1,12.0
2021-05-05,3.0,13.0,17.0,74,106,7,8,2,Wednesday,5,5,May,Spring,False,False,1.1281924155935137,-0.4054490234071405,1.4845040816706734,1,1,1,17.0
2021-05-04,5.0,6.0,4.0,84,32,77,125,1,Tuesday,4,5,May,Spring,False,False,-0.5966743927062651,-0.24365463876961177,-0.38761549058838635,1,1,1,4.0
2021-05-03,4.0,5.0,11.0,97,23,5,11,0,Monday,3,5,May,Spring,False,False,0.33210004253207726,-0.03332193874082438,-0.6153057088361098,1,1,1,11.0
2021-05-02,3.0,10.0,16.0,76,105,0,0,6,Sunday,2,5,May,Spring,False,False,0.9955103534166075,-0.3730901464796348,1.4592051685320373,1,1,1,16.0
2021-05-01,4.0,2.0,18.0,83,90,0,0,5,Saturday,1,5,May,Spring,False,False,1.2608744777704197,-0.25983407723336466,1.0797214714524983,1,1,1,18.0
2021-04-30,4.0,6.0,4.0,82,0,31,69,4,Friday,30,4,April,Spring,False,False,-0.5966743927062651,-0.2760135156971175,-1.1971807110247363,1,1,1,4.0
2021-04-29,8.0,16.0,0.0,76,0,177,542,3,Thursday,29,4,April,Spring,False,False,-1.1274026414138894,-0.3730901464796348,-1.1971807110247363,1,1,1,0.0
2021-04-28,3.0,4.0,20.0,98,85,0,-1,2,Wednesday,28,4,April,Spring,False,False,1.5262386021242318,-0.01714250027707151,0.9532269057593186,1,1,1,20.0
2021-04-27,3.0,2.0,24.0,79,133,0,0,1,Tuesday,27,4,April,Spring,False,False,2.056966850831856,-0.32455183108837615,2.167574736413844,-1,-1,1,24.0
2021-04-26,2.0,8.0,20.0,62,135,0,0,0,Monday,26,4,April,Spring,False,False,1.5262386021242318,-0.599602284972175,2.2181725626911155,1,-1,-1,20.0
2021-04-25,5.0,4.0,16.0,68,52,0,0,6,Sunday,25,4,April,Spring,False,False,0.9955103534166075,-0.5025256541896578,0.11836277218433248,1,1,1,16.0
2021-04-24,3.0,3.0,19.0,76,107,0,0,5,Saturday,24,4,April,Spring,False,False,1.3935565399473258,-0.3730901464796348,1.5098029948093092,1,1,1,19.0
2021-04-23,0.0,3.0,21.0,70,107,0,0,4,Friday,23,4,April,Spring,False,False,1.6589206643011378,-0.470166777262152,1.5098029948093092,1,1,1,21.0
2021-04-22,4.0,13.0,14.0,72,60,0,0,3,Thursday,22,4,April,Spring,False,False,0.7301462290627955,-0.4378079003346463,0.32075407729342004,1,1,1,14.0
2021-04-21,2.0,2.0,19.0,81,86,0,0,2,Wednesday,21,4,April,Spring,False,False,1.3935565399473258,-0.2921929541608704,0.9785258188979544,1,1,1,19.0
2021-04-20,2.0,4.0,21.0,109,102,0,0,1,Tuesday,20,4,April,Spring,False,False,1.6589206643011378,0.16083132282421012,1.3833084291161295,1,1,1,21.0
2021-04-19,2.0,4.0,12.0,99,58,0,-1,0,Monday,19,4,April,Spring,False,False,0.46478210470898335,-0.0009630618133186345,0.27015625101614815,1,1,1,12.0
2021-04-18,2.0,9.0,16.0,81,94,0,0,6,Sunday,18,4,April,Spring,False,False,0.9955103534166075,-0.2921929541608704,1.180917124007042,1,1,1,16.0
2021-04-17,1.0,2.0,22.0,70,128,0,0,5,Saturday,17,4,April,Spring,False,False,1.7916027264780439,-0.470166777262152,2.041080170720664,1,1,1,22.0
2021-04-16,2.0,4.0,24.0,67,120,0,0,4,Friday,16,4,April,Spring,False,False,2.056966850831856,-0.5187050926534107,1.8386888656115765,-1,1,1,24.0
2021-04-15,6.0,3.0,12.0,53,81,0,0,3,Thursday,15,4,April,Spring,False,False,0.46478210470898335,-0.745217231145951,0.8520312532047748,1,1,1,12.0
2021-04-14,4.0,11.0,14.0,48,96,0,-1,2,Wednesday,14,4,April,Spring,False,False,0.7301462290627955,-0.8261144234647153,1.231514950284314,1,1,1,14.0
2021-04-13,4.0,3.0,19.0,48,107,0,-1,1,Tuesday,13,4,April,Spring,False,False,1.3935565399473258,-0.8261144234647153,1.5098029948093092,1,1,1,19.0
2021-04-12,7.0,4.0,15.0,29,81,7,14,0,Monday,12,4,April,Spring,False,False,0.8628282912397015,-1.13352375427602,0.8520312532047748,1,1,1,15.0
2021-04-11,5.0,16.0,10.0,44,55,32,5,6,Sunday,11,4,April,Spring,False,False,0.19941798035517122,-0.8908321773197267,0.1942595116002403,1,1,1,10.0
2021-04-10,13.0,4.0,4.0,49,0,106,119,5,Saturday,10,4,April,Spring,False,False,-0.5966743927062651,-0.8099349850009624,-1.1971807110247363,1,1,1,4.0
2021-04-09,2.0,3.0,14.0,71,51,0,-1,4,Friday,9,4,April,Spring,False,False,0.7301462290627955,-0.45398733879839914,0.09306385904569654,1,1,1,14.0
2021-04-08,7.0,6.0,9.0,54,29,0,-1,3,Thursday,8,4,April,Spring,False,False,0.06673591817826516,-0.729037792682198,-0.46351223000429415,1,1,1,9.0
2021-04-07,9.0,14.0,9.0,43,53,26,26,2,Wednesday,7,4,April,Spring,False,False,0.06673591817826516,-0.9070116157834797,0.14366168532296844,1,1,1,9.0
2021-04-06,8.0,3.0,15.0,30,75,12,9,1,Tuesday,6,4,April,Spring,False,False,0.8628282912397015,-1.1173443158122671,0.7002377743729591,1,1,1,15.0
2021-04-05,8.0,4.0,15.0,43,58,44,28,0,Monday,5,4,April,Spring,False,False,0.8628282912397015,-0.9070116157834797,0.27015625101614815,1,1,1,15.0
2021-04-04,4.0,16.0,5.0,63,29,0,0,6,Sunday,4,4,April,Spring,False,False,-0.46399233052935906,-0.5834228465084221,-0.46351223000429415,1,1,1,5.0
2021-04-03,5.0,6.0,12.0,70,47,0,0,5,Saturday,3,4,April,Spring,False,False,0.46478210470898335,-0.470166777262152,-0.008131793508847216,1,1,1,12.0
2021-04-02,6.0,4.0,5.0,62,9,0,-1,4,Friday,2,4,April,Spring,False,False,-0.46399233052935906,-0.599602284972175,-0.9694904927770129,1,1,1,5.0
2021-04-01,2.0,9.0,16.0,91,103,0,0,3,Thursday,1,4,April,Spring,False,False,0.9955103534166075,-0.13039856952334164,1.4086073422547654,1,1,1,16.0
2021-03-31,1.0,2.0,20.0,140,112,0,0,2,Wednesday,31,3,March,Spring,False,False,1.5262386021242318,0.6623939152005492,1.636297560502489,1,1,1,20.0
2021-03-30,1.0,4.0,18.0,120,117,0,0,1,Tuesday,30,3,March,Spring,False,False,1.2608744777704197,0.33880514592549177,1.7627921261956687,1,1,1,18.0
2021-03-29,2.0,4.0,20.0,116,117,0,0,0,Monday,29,3,March,Spring,False,False,1.5262386021242318,0.2740873920704803,1.7627921261956687,1,1,1,20.0
2021-03-28,4.0,16.0,2.0,91,24,8,1,6,Sunday,28,3,March,Spring,False,False,-0.8620385170600773,-0.13039856952334164,-0.5900067956974738,1,1,1,2.0
2021-03-27,5.0,7.0,10.0,62,64,5,6,5,Saturday,27,3,March,Spring,False,False,0.19941798035517122,-0.599602284972175,0.42194972984796375,1,1,1,10.0
2021-03-26,1.0,5.0,12.0,98,64,25,11,4,Friday,26,3,March,Spring,False,False,0.46478210470898335,-0.01714250027707151,0.42194972984796375,1,1,1,12.0
2021-03-25,5.0,6.0,8.0,77,48,0,-1,3,Thursday,25,3,March,Spring,False,False,-0.06594614399864089,-0.3569107080158819,0.017167119629788726,1,1,1,8.0
2021-03-24,2.0,13.0,14.0,73,103,0,0,2,Wednesday,24,3,March,Spring,False,False,0.7301462290627955,-0.4216284618708934,1.4086073422547654,1,1,1,14.0
2021-03-23,6.0,5.0,8.0,69,16,0,0,1,Tuesday,23,3,March,Spring,False,False,-0.06594614399864089,-0.4863462157259049,-0.7923981008065614,1,1,1,8.0
2021-03-22,7.0,4.0,7.0,62,13,0,-1,0,Monday,22,3,March,Spring,False,False,-0.19862820617554697,-0.599602284972175,-0.8682948402224692,1,1,1,7.0
2021-03-21,8.0,15.0,3.0,64,9,0,-1,6,Sunday,21,3,March,Spring,False,False,-0.7293564548831711,-0.5672434080446693,-0.9694904927770129,1,1,1,3.0
2021-03-20,6.0,7.0,9.0,41,44,3,1,5,Saturday,20,3,March,Spring,False,False,0.06673591817826516,-0.9393704927109854,-0.08402853292475504,1,1,1,9.0
2021-03-19,4.0,4.0,18.0,44,101,0,0,4,Friday,19,3,March,Spring,False,False,1.2608744777704197,-0.8908321773197267,1.3580095159774936,1,1,1,18.0
2021-03-18,7.0,6.0,9.0,43,41,9,2,3,Thursday,18,3,March,Spring,False,False,0.06673591817826516,-0.9070116157834797,-0.15992527234066287,1,1,1,9.0
2021-03-17,6.0,14.0,5.0,46,31,20,6,2,Wednesday,17,3,March,Spring,False,False,-0.46399233052935906,-0.858473300392221,-0.41291440372702226,1,1,1,5.0
2021-03-16,6.0,6.0,5.0,57,12,79,34,1,Tuesday,16,3,March,Spring,False,False,-0.46399233052935906,-0.6804994772909394,-0.8935937533611051,1,1,1,5.0
2021-03-15,7.0,5.0,6.0,67,40,16,10,0,Monday,15,3,March,Spring,False,False,-0.33131026835245303,-0.5187050926534107,-0.1852241854792988,1,1,1,6.0
2021-03-14,5.0,12.0,7.0,65,33,29,49,6,Sunday,14,3,March,Spring,False,False,-0.19862820617554697,-0.5510639695809164,-0.3623165774497504,1,1,1,7.0
2021-03-13,7.0,6.0,5.0,68,27,58,88,5,Saturday,13,3,March,Spring,False,False,-0.46399233052935906,-0.5025256541896578,-0.514110056281566,1,1,1,5.0
2021-03-12,7.0,7.0,4.0,65,38,30,75,4,Friday,12,3,March,Spring,False,False,-0.5966743927062651,-0.5510639695809164,-0.2358220117565707,1,1,1,4.0
2021-03-11,7.0,5.0,4.0,88,26,51,33,3,Thursday,11,3,March,Spring,False,False,-0.5966743927062651,-0.17893688491460027,-0.539408969420202,1,1,1,4.0
2021-03-10,9.0,15.0,1.0,55,0,73,28,2,Wednesday,10,3,March,Spring,False,False,-0.9947205792369833,-0.7128583542184451,-1.1971807110247363,1,1,1,1.0
2021-03-09,7.0,7.0,2.0,53,4,47,13,1,Tuesday,9,3,March,Spring,False,False,-0.8620385170600773,-0.745217231145951,-1.0959850584701927,1,1,1,2.0
2021-03-08,7.0,5.0,5.0,51,0,70,48,0,Monday,8,3,March,Spring,False,False,-0.46399233052935906,-0.7775761080734567,-1.1971807110247363,1,1,1,5.0
2021-03-07,7.0,15.0,1.0,23,0,0,0,6,Sunday,7,3,March,Spring,False,False,-0.9947205792369833,-1.2306003850585372,-1.1971807110247363,1,1,1,1.0
2021-03-06,7.0,5.0,7.0,13,55,0,0,5,Saturday,6,3,March,Spring,False,False,-0.19862820617554697,-1.392394769696066,0.1942595116002403,1,1,1,7.0
2021-03-05,2.0,3.0,16.0,23,97,0,0,4,Friday,5,3,March,Spring,False,False,0.9955103534166075,-1.2306003850585372,1.2568138634229498,1,1,1,16.0
2021-03-04,9.0,5.0,1.0,41,0,0,-1,3,Thursday,4,3,March,Spring,False,False,-0.9947205792369833,-0.9393704927109854,-1.1971807110247363,1,1,1,1.0
2021-03-03,6.0,18.0,2.0,34,3,0,0,2,Wednesday,3,3,March,Spring,False,False,-0.8620385170600773,-1.0526265619572555,-1.1212839716088285,1,1,1,2.0
2021-03-02,5.0,6.0,15.0,55,99,0,0,1,Tuesday,2,3,March,Spring,False,False,0.8628282912397015,-0.7128583542184451,1.3074116897002217,1,1,1,15.0
2021-03-01,9.0,6.0,10.0,50,70,0,0,0,Monday,1,3,March,Spring,False,False,0.19941798035517122,-0.7937555465372096,0.5737432086797795,1,1,1,10.0
2021-02-28,4.0,18.0,6.0,33,74,0,0,6,Sunday,28,2,February,Winter,False,False,-0.33131026835245303,-1.0688060004210085,0.6749388612343232,1,1,1,6.0
2021-02-27,7.0,5.0,5.0,39,35,0,0,5,Saturday,27,2,February,Winter,False,False,-0.46399233052935906,-0.9717293696384912,-0.3117187511724785,1,1,1,5.0
2021-02-26,3.0,4.0,14.0,61,92,0,-1,4,Friday,26,2,February,Winter,False,False,0.7301462290627955,-0.615781723435928,1.13031929772977,1,1,1,14.0
2021-02-25,3.0,4.0,10.0,105,78,0,0,3,Thursday,25,2,February,Winter,False,False,0.19941798035517122,0.09611356896919862,0.776134513788867,1,1,1,10.0
2021-02-24,2.0,15.0,6.0,129,69,0,0,2,Wednesday,24,2,February,Winter,False,False,-0.33131026835245303,0.4844200920992676,0.5484442955411435,1,1,1,6.0
2021-02-23,2.0,5.0,6.0,126,42,0,0,1,Tuesday,23,2,February,Winter,False,False,-0.33131026835245303,0.435881776708009,-0.13462635920202692,1,1,1,6.0
2021-02-22,3.0,5.0,6.0,115,58,0,0,0,Monday,22,2,February,Winter,False,False,-0.33131026835245303,0.25790795360672736,0.27015625101614815,1,1,1,6.0
2021-02-21,3.0,12.0,8.0,114,78,0,0,6,Sunday,21,2,February,Winter,False,False,-0.06594614399864089,0.2417285151429745,0.776134513788867,1,1,1,8.0
2021-02-20,1.0,5.0,9.0,119,77,0,-1,5,Saturday,20,2,February,Winter,False,False,0.06673591817826516,0.32262570746173885,0.750835600650231,1,1,1,9.0
2021-02-19,6.0,6.0,8.0,71,70,0,0,4,Friday,19,2,February,Winter,False,False,-0.06594614399864089,-0.45398733879839914,0.5737432086797795,1,1,1,8.0
2021-02-18,7.0,5.0,3.0,81,11,44,50,3,Thursday,18,2,February,Winter,False,False,-0.7293564548831711,-0.2921929541608704,-0.9188926664997411,1,1,1,3.0
2021-02-17,6.0,16.0,1.0,89,10,0,-1,2,Wednesday,17,2,February,Winter,False,False,-0.9947205792369833,-0.1627574464508474,-0.944191579638377,1,1,1,1.0
2021-02-16,8.0,4.0,3.0,62,17,24,8,1,Tuesday,16,2,February,Winter,False,False,-0.7293564548831711,-0.599602284972175,-0.7670991876679254,1,1,1,3.0
2021-02-15,11.0,8.0,0.0,25,0,76,39,0,Monday,15,2,February,Winter,False,False,-1.1274026414138894,-1.1982415081310314,-1.1971807110247363,1,1,1,0.0
2021-02-14,9.0,17.0,5.0,-7,90,0,0,6,Sunday,14,2,February,Winter,False,False,-0.46399233052935906,-1.7159835389711235,1.0797214714524983,1,-1,-1,5.0
2021-02-13,10.0,5.0,11.0,-63,89,0,0,5,Saturday,13,2,February,Winter,False,False,0.33210004253207726,-2.6220320929412844,1.0544225583138622,1,1,-1,11.0
2021-02-12,8.0,6.0,10.0,-71,89,0,-1,4,Friday,12,2,February,Winter,False,False,0.19941798035517122,-2.7514676006513072,1.0544225583138622,1,1,-1,10.0
2021-02-11,11.0,5.0,13.0,-62,87,0,0,3,Thursday,11,2,February,Winter,False,False,0.5974641668858894,-2.6058526544775313,1.0038247320365905,1,1,-1,13.0
2021-02-10,13.0,13.0,4.0,-42,77,0,-1,2,Wednesday,10,2,February,Winter,False,False,-0.5966743927062651,-2.282263885202474,0.750835600650231,1,-1,-1,4.0
2021-02-09,13.0,4.0,7.0,-51,70,0,-1,1,Tuesday,9,2,February,Winter,False,False,-0.19862820617554697,-2.42787883137625,0.5737432086797795,1,1,-1,7.0
2021-02-08,19.0,7.0,1.0,-56,0,47,14,0,Monday,8,2,February,Winter,False,False,-0.9947205792369833,-2.508776023695014,-1.1971807110247363,1,1,-1,1.0
